DBN,School Name,Cohort,Demographic,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
12X684,WINGS ACADEMY,2005,General Education Students,70%,52%,5%,47%,18%,21%,9%
12X684,WINGS ACADEMY,2006,General Education Students,70.7%,53.5%,8.1%,45.5%,17.2%,16.2%,9.1%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2005,General Education Students,54.8%,33.9%,6.1%,27.8%,20.9%,23.5%,17.399999999999999%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2006,General Education Students,55.8%,38.1%,3.5%,34.5%,17.7%,10.6%,25.7%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2005,General Education Students,30.6%,25.9%,3.5%,22.4%,4.7%,56.5%,7.1%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2006,General Education Students,52.3%,48.8%,4.7%,44.2%,3.5%,32.6%,9.300000000000001%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2005,General Education Students,51.8%,43.5%,0%,43.5%,8.199999999999999%,38.799999999999997%,7.1%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2006,General Education Students,81.599999999999994%,57.9%,0%,57.9%,23.7%,13.2%,3.9%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,2005,General Education Students,74.7%,48.2%,0%,48.2%,26.5%,16.899999999999999%,6%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,2006,General Education Students,73.900000000000006%,53.4%,0%,53.4%,20.5%,19.3%,6.8%
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,2005,General Education Students,s,s,s,s,s,s,s
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,2006,General Education Students,54.8%,48.4%,8.1%,40.299999999999997%,6.5%,41.9%,3.2%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2005,General Education Students,69%,60.7%,10%,50.7%,8.300000000000001%,23.6%,5.2%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2006,General Education Students,64.2%,51.2%,10%,41.3%,12.9%,26.4%,6%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2005,General Education Students,89.6%,89.6%,82.8%,6.8%,0%,9.699999999999999%,0.4%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2006,General Education Students,91.6%,91.6%,82.2%,9.5%,0%,7.7%,0.2%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2005,General Education Students,85.1%,60.9%,0%,60.9%,24.1%,12.6%,2.3%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2006,General Education Students,81.7%,81.7%,0%,81.7%,0%,13.9%,4.3%
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2005,General Education Students,86.6%,61.9%,0%,61.9%,24.7%,13.4%,0%
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2006,General Education Students,93.7%,81.099999999999994%,29.5%,51.6%,12.6%,5.3%,1.1%
13K499,ACORN COMMUNITY HIGH SCHOOL,2005,General Education Students,67.599999999999994%,53.5%,8.5%,45.1%,14.1%,22.5%,7.7%
13K499,ACORN COMMUNITY HIGH SCHOOL,2006,General Education Students,80.099999999999994%,63.8%,1.4%,62.4%,16.3%,12.1%,7.1%
13K509,FREEDOM ACADEMY HIGH SCHOOL,2005,General Education Students,48.1%,44.4%,3.7%,40.700000000000003%,3.7%,48.1%,1.9%
13K509,FREEDOM ACADEMY HIGH SCHOOL,2006,General Education Students,71.099999999999994%,71.099999999999994%,13.3%,57.8%,0%,22.2%,6.7%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2005,General Education Students,37.5%,10.7%,0%,10.7%,26.8%,50%,10.7%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2006,General Education Students,16%,4%,0%,4%,12%,58%,22%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2005,General Education Students,36.700000000000003%,24.5%,0%,24.5%,12.2%,55.1%,6.1%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2006,General Education Students,29.4%,15.7%,0%,15.7%,13.7%,62.7%,2%
13K595,BEDFORD ACADEMY HIGH SCHOOL,2005,General Education Students,94.7%,92%,70.7%,21.3%,2.7%,5.3%,0%
13K595,BEDFORD ACADEMY HIGH SCHOOL,2006,General Education Students,91.5%,88.7%,57.7%,31%,2.8%,4.2%,4.2%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2005,General Education Students,65.2%,17%,5%,12.1%,48.2%,27.7%,7.1%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2006,General Education Students,62.2%,33.799999999999997%,15.4%,18.399999999999999%,28.4%,27.4%,9.5%
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,2005,General Education Students,0%,0%,0%,0%,0%,95.5%,4.5%
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,2006,General Education Students,7.4%,2.5%,0%,2.5%,4.9%,65.400000000000006%,27.2%
13K670,BENJAMIN BANNEKER ACADEMY,2005,General Education Students,95.4%,93.8%,54.6%,39.200000000000003%,1.7%,2.9%,1.3%
13K670,BENJAMIN BANNEKER ACADEMY,2006,General Education Students,95.4%,93.5%,46.1%,47.5%,1.8%,3.2%,0.9%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2005,General Education Students,55.7%,41.8%,3.8%,38%,13.9%,38%,3.8%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2006,General Education Students,46.8%,32.9%,0%,32.9%,13.9%,39.200000000000003%,13.9%
14K322,FOUNDATIONS ACADEMY,2005,General Education Students,75.900000000000006%,55.2%,1.1%,54%,20.7%,19.5%,1.1%
14K322,FOUNDATIONS ACADEMY,2006,General Education Students,78.400000000000006%,51%,2%,49%,27.5%,15.7%,3.9%
14K404,ACADEMY FOR YOUNG WRITERS,2005,General Education Students,s,s,s,s,s,s,s
14K404,ACADEMY FOR YOUNG WRITERS,2006,General Education Students,79.2%,61.1%,0%,61.1%,18.100000000000001%,16.7%,2.8%
14K449,BROOKLYN LATIN SCHOOL  THE,2006,General Education Students,92.2%,92.2%,51%,41.2%,0%,7.8%,0%
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,2005,General Education Students,s,s,s,s,s,s,s
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,2006,General Education Students,56.8%,50%,0%,50%,6.8%,23.9%,14.8%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2005,General Education Students,67.7%,39.299999999999997%,1.5%,37.799999999999997%,28.4%,22.4%,9%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2006,General Education Students,65.599999999999994%,49.7%,2.6%,47.1%,15.9%,27%,5.3%
14K477,SCHOOL FOR LEGAL STUDIES,2005,General Education Students,61.3%,32%,2.7%,29.3%,29.3%,26%,12%
14K477,SCHOOL FOR LEGAL STUDIES,2006,General Education Students,62.6%,35.9%,0.8%,35.1%,26.7%,21.4%,15.3%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2005,General Education Students,85.2%,67.099999999999994%,45.2%,21.9%,18.100000000000001%,12.9%,0.6%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2006,General Education Students,86.2%,73.2%,4.3%,68.8%,13%,10.9%,2.9%
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,2005,General Education Students,79.2%,58.4%,3.9%,54.5%,20.8%,15.6%,1.3%
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,2006,General Education Students,80%,66.7%,1.7%,65%,13.3%,11.7%,8.300000000000001%
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,2005,General Education Students,79.7%,71.599999999999994%,2.7%,68.900000000000006%,8.1%,6.8%,9.5%
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,2006,General Education Students,84.7%,82.4%,4.7%,77.599999999999994%,2.4%,7.1%,5.9%
14K561,WILLIAMSBURG PREPARATORY SCHOOL,2005,General Education Students,85.9%,81.8%,23.2%,58.6%,4%,10.1%,4%
14K561,WILLIAMSBURG PREPARATORY SCHOOL,2006,General Education Students,85.6%,83.3%,12.2%,71.099999999999994%,2.2%,4.4%,8.9%
14K586,LYONS COMMUNITY SCHOOL,2006,General Education Students,s,s,s,s,s,s,s
14K610,AUTOMOTIVE HIGH SCHOOL,2005,General Education Students,60.6%,28%,0%,28%,32.6%,28%,10.3%
14K610,AUTOMOTIVE HIGH SCHOOL,2006,General Education Students,62.6%,29.1%,0%,29.1%,33.5%,20.9%,13.7%
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTI,2005,General Education Students,75.900000000000006%,0%,0%,0%,75.900000000000006%,13.8%,3.4%
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTI,2006,General Education Students,76.7%,76.7%,0%,76.7%,0%,20%,3.3%
15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,2005,General Education Students,s,s,s,s,s,s,s
15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,2006,General Education Students,s,s,s,s,s,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,2005,General Education Students,46.2%,35.9%,0%,35.9%,10.3%,42.3%,5.1%
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,2006,General Education Students,57.7%,56.4%,0%,56.4%,1.3%,38.5%,2.6%
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABO,2005,General Education Students,91.2%,70.599999999999994%,0%,70.599999999999994%,20.6%,4.4%,4.4%
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABO,2006,General Education Students,85.7%,85.7%,0%,85.7%,0%,6.1%,4.1%
15K462,SECONDARY SCHOOL FOR LAW,2005,General Education Students,72.5%,56.3%,13.8%,42.5%,16.3%,22.5%,2.5%
15K462,SECONDARY SCHOOL FOR LAW,2006,General Education Students,69.599999999999994%,44.3%,3.8%,40.5%,25.3%,21.5%,2.5%
15K463,SECONDARY SCHOOL FOR JOURNALISM,2005,General Education Students,54.3%,33.299999999999997%,8.6%,24.7%,21%,39.5%,6.2%
15K463,SECONDARY SCHOOL FOR JOURNALISM,2006,General Education Students,60.2%,33.700000000000003%,1.2%,32.5%,26.5%,28.9%,7.2%
15K464,PARK SLOPE COLLEGIATE,2005,General Education Students,75%,45.8%,11.1%,34.700000000000003%,29.2%,22.2%,1.4%
15K464,PARK SLOPE COLLEGIATE,2006,General Education Students,64.900000000000006%,40.5%,6.8%,33.799999999999997%,24.3%,31.1%,2.7%
15K497,SCHOOL FOR INTERNATIONAL STUDIES,2005,General Education Students,65.5%,50%,8.6%,41.4%,15.5%,24.1%,8.6%
15K497,SCHOOL FOR INTERNATIONAL STUDIES,2006,General Education Students,61.4%,45.6%,1.8%,43.9%,15.8%,24.6%,12.3%
15K498,ACORN HS FOR SOCIAL JUSTICE,2005,General Education Students,75.5%,53.8%,11.3%,42.5%,21.7%,8.5%,14.2%
15K498,ACORN HS FOR SOCIAL JUSTICE,2006,General Education Students,85.9%,71.8%,2.6%,69.2%,14.1%,5.1%,7.7%
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,2005,General Education Students,74.099999999999994%,38.799999999999997%,2.6%,36.200000000000003%,35.299999999999997%,16.399999999999999%,5.2%
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,2006,General Education Students,67%,42.6%,0%,42.6%,24.3%,11.3%,15.7%
15K520,PACIFIC HIGH SCHOOL,2005,General Education Students,11.1%,4.8%,0%,4.8%,6.3%,65.099999999999994%,20.6%
15K520,PACIFIC HIGH SCHOOL,2006,General Education Students,15%,6.7%,0%,6.7%,8.300000000000001%,68.3%,13.3%
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,2005,General Education Students,22.2%,12.2%,0%,12.2%,10%,60%,15.6%
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,2006,General Education Students,11.3%,8.199999999999999%,0%,8.199999999999999%,3.1%,77.3%,9.300000000000001%
15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,2005,General Education Students,50.8%,30.8%,3.1%,27.7%,20%,30.8%,15.4%
15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,2006,General Education Students,40.799999999999997%,19.7%,0%,19.7%,21.1%,39.4%,14.1%
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,2005,General Education Students,71.400000000000006%,53.1%,12.2%,40.799999999999997%,18.399999999999999%,25.9%,2.7%
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,2006,General Education Students,75%,60.9%,8.699999999999999%,52.2%,14.1%,23.9%,1.1%
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,2005,General Education Students,10%,0%,0%,0%,10%,80%,6.7%
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,2006,General Education Students,13.5%,5.8%,0%,5.8%,7.7%,71.2%,11.5%
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,2005,General Education Students,94.3%,80%,5.7%,74.3%,14.3%,4.3%,1.4%
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,2006,General Education Students,80.3%,65.599999999999994%,4.9%,60.7%,14.8%,19.7%,0%
17K600,CLARA BARTON HIGH SCHOOL,2006,General Education Students,66.099999999999994%,47.8%,6.9%,41%,18.3%,22.2%,10.3%
16K455,BOYS AND GIRLS HIGH SCHOOL,2005,General Education Students,44.5%,30.9%,2.2%,28.7%,13.6%,41.5%,10.199999999999999%
16K455,BOYS AND GIRLS HIGH SCHOOL,2006,General Education Students,45.5%,38.200000000000003%,2.1%,36%,7.3%,33.6%,17.3%
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,2006,General Education Students,s,s,s,s,s,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND C,2005,General Education Students,s,s,s,s,s,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND C,2006,General Education Students,85.9%,75%,17.2%,57.8%,10.9%,9.4%,4.7%
17K408,ACADEMY OF  HOSPITALITY AND TOURISM,2005,General Education Students,s,s,s,s,s,s,s
17K408,ACADEMY OF  HOSPITALITY AND TOURISM,2006,General Education Students,71.400000000000006%,54.5%,1.3%,53.2%,16.899999999999999%,24.7%,3.9%
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,2005,General Education Students,21.7%,6.6%,0%,6.6%,15.1%,55.7%,18.899999999999999%
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,2006,General Education Students,17.600000000000001%,8.1%,0%,8.1%,9.5%,40.5%,35.1%
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,2005,General Education Students,59.6%,29.8%,0%,29.8%,29.8%,33%,7.4%
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,2006,General Education Students,41.3%,41.3%,0%,41.3%,0%,48.8%,8.800000000000001%
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,2005,General Education Students,55.9%,45.2%,5.4%,39.799999999999997%,10.8%,34.4%,6.5%
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,2006,General Education Students,65.3%,48.4%,5.3%,43.2%,16.8%,17.899999999999999%,12.6%
17K531,SCHOOL FOR HUMAN RIGHTS  THE,2005,General Education Students,74.5%,39.200000000000003%,0%,39.200000000000003%,35.299999999999997%,19.600000000000001%,5.9%
17K531,SCHOOL FOR HUMAN RIGHTS  THE,2006,General Education Students,83.3%,47.9%,12.5%,35.4%,35.4%,10.4%,6.3%
17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,2005,General Education Students,72%,40%,0%,40%,32%,24%,2%
17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,2006,General Education Students,0%,0%,0%,0%,0%,86%,8.800000000000001%
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,2005,General Education Students,45.8%,19.600000000000001%,0%,19.600000000000001%,26.2%,31.8%,19.600000000000001%
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,2006,General Education Students,59.8%,45.7%,6.5%,39.1%,14.1%,28.3%,8.699999999999999%
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,2005,General Education Students,79.400000000000006%,60.8%,12.7%,48%,18.600000000000001%,10.8%,9.800000000000001%
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,2006,General Education Students,83%,68%,12%,56%,15%,7%,9%
17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,2005,General Education Students,97.8%,91%,15.7%,75.3%,6.7%,2.2%,0%
17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,2006,General Education Students,98.7%,93.4%,0%,93.4%,5.3%,1.3%,0%
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,2005,General Education Students,55.9%,37.6%,4.3%,33.299999999999997%,18.3%,35.5%,6.5%
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,2006,General Education Students,58.2%,38.5%,3.3%,35.200000000000003%,19.8%,34.1%,4.4%
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,2005,General Education Students,97.8%,93.3%,12.4%,80.900000000000006%,4.5%,1.1%,0%
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,2006,General Education Students,95.3%,92.9%,18.8%,74.099999999999994%,2.4%,4.7%,0%
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,2005,General Education Students,67.599999999999994%,55.9%,11.8%,44.1%,11.8%,28.4%,2.9%
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,2006,General Education Students,73.7%,50.5%,7.1%,43.4%,23.2%,21.2%,4%
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,2005,General Education Students,84.7%,62.4%,14.1%,48.2%,22.4%,14.1%,1.2%
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,2006,General Education Students,76%,57.3%,4%,53.3%,18.7%,20%,2.7%
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,2005,General Education Students,13.4%,6.1%,0%,6.1%,7.3%,78%,8.5%
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,2006,General Education Students,12.3%,6.8%,0%,6.8%,5.5%,67.099999999999994%,19.2%
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,2005,General Education Students,92.5%,89.9%,33.299999999999997%,56.6%,2.5%,6.9%,0.6%
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,2006,General Education Students,94.2%,92.3%,30.3%,61.9%,1.9%,2.6%,3.2%
17K600,CLARA BARTON HIGH SCHOOL,2005,General Education Students,71.400000000000006%,50.5%,4.3%,46.2%,20.9%,20.7%,6.3%
17K625,PAUL ROBESON HIGH SCHOOL,2005,General Education Students,41.5%,12.6%,1.8%,10.8%,28.9%,45.8%,8.300000000000001%
17K625,PAUL ROBESON HIGH SCHOOL,2006,General Education Students,52.9%,28.5%,4.1%,24.4%,24.4%,33.9%,10.7%
18K415,SAMUEL J. TILDEN HIGH SCHOOL,2005,General Education Students,42.1%,22.5%,4.1%,18.5%,19.600000000000001%,40.200000000000003%,14%
18K415,SAMUEL J. TILDEN HIGH SCHOOL,2006,General Education Students,63.2%,25%,4.9%,20.100000000000001%,38.200000000000003%,21.5%,13.9%
18K500,CANARSIE HIGH SCHOOL,2005,General Education Students,41.7%,17.8%,1.9%,16%,23.9%,40.5%,13.9%
18K500,CANARSIE HIGH SCHOOL,2006,General Education Students,50%,20.6%,2%,18.600000000000001%,29.4%,24.9%,21.1%
18K515,SOUTH SHORE HIGH SCHOOL,2005,General Education Students,37.9%,13.6%,0.9%,12.6%,24.3%,27.6%,30.8%
18K515,SOUTH SHORE HIGH SCHOOL,2006,General Education Students,44.3%,17.5%,5.2%,12.4%,26.8%,14.4%,38.1%
18K563,IT TAKES A VILLAGE ACADEMY,2005,General Education Students,s,s,s,s,s,s,s
18K563,IT TAKES A VILLAGE ACADEMY,2006,General Education Students,s,s,s,s,s,s,s
18K566,BROOKLYN GENERATION SCHOOL,2006,General Education Students,s,s,s,s,s,s,s
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,2006,General Education Students,s,s,s,s,s,s,s
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,2006,General Education Students,s,s,s,s,s,s,s
18K576,VICTORY COLLEGIATE HIGH SCHOOL,2005,General Education Students,s,s,s,s,s,s,s
18K576,VICTORY COLLEGIATE HIGH SCHOOL,2006,General Education Students,s,s,s,s,s,s,s
18K578,BROOKLYN BRIDGE ACADEMY,2005,General Education Students,14.1%,5.1%,0%,5.1%,9%,69.2%,10.3%
18K578,BROOKLYN BRIDGE ACADEMY,2006,General Education Students,14.3%,6.5%,0%,6.5%,7.8%,70.099999999999994%,11.7%
18K589,ARTS & MEDIA PREPARATORY ACADEMY,2006,General Education Students,s,s,s,s,s,s,s
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,2006,General Education Students,s,s,s,s,s,s,s
18K635,OLYMPUS ACADEMY,2005,General Education Students,3.6%,3.6%,0%,3.6%,0%,87.5%,8.9%
18K635,OLYMPUS ACADEMY,2006,General Education Students,18%,10.1%,0%,10.1%,7.9%,69.7%,10.1%
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,2006,General Education Students,3.4%,0%,0%,0%,3.4%,88.1%,8.5%
19K409,EAST NEW YORK FAMILY ACADEMY,2005,General Education Students,81.400000000000006%,76.3%,22%,54.2%,5.1%,13.6%,5.1%
19K409,EAST NEW YORK FAMILY ACADEMY,2006,General Education Students,83.3%,71.8%,7.7%,64.099999999999994%,11.5%,12.8%,2.6%
19K420,FRANKLIN K. LANE HIGH SCHOOL,2005,General Education Students,37.5%,22.5%,4.7%,17.8%,15%,41.1%,17.8%
19K420,FRANKLIN K. LANE HIGH SCHOOL,2006,General Education Students,41.2%,29.5%,5.9%,23.7%,11.7%,34.200000000000003%,22.7%
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,2005,General Education Students,61.2%,17.600000000000001%,0%,17.600000000000001%,43.5%,24.7%,10.6%
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,2006,General Education Students,59.7%,31.9%,5.6%,26.4%,27.8%,13.9%,19.399999999999999%
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,2005,General Education Students,61.8%,44.9%,2.2%,42.7%,16.899999999999999%,24.7%,11.2%
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,2006,General Education Students,62.5%,53.1%,5.2%,47.9%,9.4%,25%,10.4%
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,2005,General Education Students,73.3%,52.3%,0%,52.3%,20.9%,19.8%,4.7%
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,2006,General Education Students,71%,58.1%,0%,58.1%,12.9%,24.7%,4.3%
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,2005,General Education Students,69%,36.6%,5.6%,31%,32.4%,18.3%,9.9%
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,2006,General Education Students,23.9%,6%,0%,6%,17.899999999999999%,67.2%,7.5%
19K583,MULTICULTURAL HIGH SCHOOL,2006,General Education Students,s,s,s,s,s,s,s
19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,2005,General Education Students,72.099999999999994%,58%,30.4%,27.6%,14.1%,20.2%,5.2%
19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,2006,General Education Students,71.5%,60%,19.3%,40.700000000000003%,11.5%,23.3%,4.6%
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,2006,General Education Students,s,s,s,s,s,s,s
19K639,BROOKLYN LAB SCHOOL,2006,General Education Students,s,s,s,s,s,s,s
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,2005,General Education Students,s,s,s,s,s,s,s
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,2006,General Education Students,56.6%,39.4%,2%,37.4%,17.2%,32.299999999999997%,8.1%
19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,2005,General Education Students,52%,23.1%,2.3%,20.8%,28.9%,24.9%,18.5%
19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,2006,General Education Students,52.8%,27.8%,0.6%,27.2%,25%,26.7%,18.899999999999999%
20K445,NEW UTRECHT HIGH SCHOOL,2005,General Education Students,66.3%,56.8%,24%,32.799999999999997%,9.5%,26%,6.1%
20K445,NEW UTRECHT HIGH SCHOOL,2006,General Education Students,67.5%,58.8%,27%,31.8%,8.6%,25.6%,5.5%
20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,2005,General Education Students,83.1%,77.400000000000006%,51.9%,25.5%,5.8%,10.3%,4.9%
20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,2006,General Education Students,83.5%,82.6%,44.6%,38%,0.8%,12.4%,3.7%
20K490,FORT HAMILTON HIGH SCHOOL,2005,General Education Students,62%,50.8%,19.3%,31.5%,11.2%,21.8%,14.5%
20K490,FORT HAMILTON HIGH SCHOOL,2006,General Education Students,68%,60.2%,22.7%,37.5%,7.8%,17.8%,13.2%
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,2005,General Education Students,50.7%,42.6%,17.7%,24.9%,8.1%,29.2%,19.8%
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,2006,General Education Students,56.6%,43.3%,19.399999999999999%,23.9%,13.3%,21.9%,20.5%
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,2005,General Education Students,94.7%,40.4%,0%,40.4%,54.4%,0%,5.3%
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,2006,General Education Students,44.9%,15.9%,0%,15.9%,29%,44.9%,10.1%
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,2005,General Education Students,74.400000000000006%,73.3%,19.8%,53.5%,1.2%,20.9%,4.7%
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,2006,General Education Students,67.3%,63.5%,10.6%,52.9%,3.8%,24%,7.7%
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,2005,General Education Students,81.7%,70%,20%,50%,11.7%,15%,1.7%
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,2006,General Education Students,75.900000000000006%,72.400000000000006%,22.4%,50%,3.4%,12.1%,8.6%
21K400,LAFAYETTE HIGH SCHOOL,2005,General Education Students,50.8%,35.9%,12.2%,23.8%,14.9%,29.8%,18.2%
21K400,LAFAYETTE HIGH SCHOOL,2006,General Education Students,52.6%,29.8%,7%,22.8%,22.8%,15.8%,29.8%
21K410,ABRAHAM LINCOLN HIGH SCHOOL,2005,General Education Students,63%,53.3%,20.100000000000001%,33.200000000000003%,9.699999999999999%,25.7%,9.9%
21K410,ABRAHAM LINCOLN HIGH SCHOOL,2006,General Education Students,62.9%,51%,13.5%,37.5%,11.9%,22.5%,13.2%
21K525,EDWARD R. MURROW HIGH SCHOOL,2005,General Education Students,74%,70.3%,36.299999999999997%,34%,3.7%,17.899999999999999%,6.1%
21K525,EDWARD R. MURROW HIGH SCHOOL,2006,General Education Students,79.900000000000006%,77.8%,36.799999999999997%,41%,2.2%,13.8%,5.2%
21K540,JOHN DEWEY HIGH SCHOOL,2005,General Education Students,58.7%,51.9%,20.8%,31.1%,6.7%,29.9%,8.5%
21K540,JOHN DEWEY HIGH SCHOOL,2006,General Education Students,61.6%,54.3%,13.1%,41.2%,7.3%,22.2%,11.2%
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND,2006,General Education Students,s,s,s,s,s,s,s
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COM,2005,General Education Students,s,s,s,s,s,s,s
